Boost,Coolant_Temp,EXH_DIFF,EXH_L,EXH_R,Fuel_Press,Fuel_Rate,Load,Oil_Press,RPM
10.5,85.0,15.0,293.0,278.0,522.0,97.0000014454126,24.0,502.0,1800.0
9.0,85.0,22.0,288.0,310.0,521.0,92.85000138357279,24.0,502.5,1798.0
14.5,85.0,6.0,291.0,285.0,521.0,86.950001295656,23.0,502.5,1801.5
15.5,85.0,13.0,290.0,277.0,520.0,89.9000013396144,24.0,502.5,1801.0
10.5,85.0,60.0,296.0,236.0,520.0,95.3500014208257,24.0,501.5,1802.5
15.5,85.0,13.0,294.0,281.0,519.0,92.85000138357279,23.0,502.5,1806.0
25.0,85.0,19.0,337.0,318.0,515.5,121.85000181570601,29.0,498.5,1803.5
17.0,86.0,37.0,342.0,305.0,516.0,115.55000172182899,27.0,500.0,1801.0
11.0,85.0,9.0,262.0,271.0,523.5,66.4000009894371,20.0,504.5,1803.5
9.5,85.0,27.0,271.0,244.0,520.5,80.4000011980534,22.0,503.5,1800.0
12.5,85.0,44.0,269.0,313.0,522.5,70.8000010550022,20.0,502.5,1801.5
11.5,85.0,49.0,272.0,223.0,521.5,76.50000113993879,21.0,502.5,1801.5
21.0,86.0,30.0,338.0,308.0,516.0,128.60000191628902,29.0,499.0,1799.0
35.0,86.0,30.0,407.0,437.0,514.5,146.650002185255,33.0,495.5,1799.0
10.0,85.0,36.0,302.0,338.0,520.5,92.6500013805926,24.0,501.5,1802.5
10.0,85.0,38.0,294.0,332.0,521.5,86.55000128969549,23.0,501.0,1801.5
14.0,85.0,3.0,307.0,304.0,521.0,95.10000141710043,24.0,500.0,1798.0
10.5,85.0,1.0,296.0,295.0,520.5,94.5500014089048,23.0,501.0,1801.0
15.0,86.0,9.0,302.0,311.0,519.5,96.45000143721701,25.0,500.5,1802.5
12.0,85.0,16.0,297.0,281.0,517.5,100.600001499057,24.0,500.0,1795.0
21.5,86.0,8.0,340.0,332.0,515.5,118.050001759082,27.0,500.0,1796.5
8.0,85.0,40.0,307.0,347.0,522.5,80.8500012047589,21.0,501.0,1803.5
11.0,84.0,5.0,302.0,297.0,522.0,95.9500014297664,24.0,500.5,1803.5
15.5,85.0,32.0,310.0,278.0,523.0,102.70000153034901,25.0,500.0,1801.5
14.5,85.0,39.0,300.0,261.0,521.0,91.2000013589859,24.0,499.5,1801.5
13.0,85.0,28.0,307.0,279.0,521.0,97.0000014454126,24.0,499.5,1800.0
15.0,85.0,16.0,306.0,290.0,521.0,97.2500014491379,25.0,501.0,1798.0
11.5,86.0,37.0,315.0,278.0,521.0,98.9000014737248,24.0,500.5,1802.5
13.0,85.0,28.0,324.0,296.0,519.5,104.850001562387,25.0,499.5,1800.0
15.0,85.0,44.0,327.0,283.0,521.0,104.050001550466,25.0,498.5,1799.0
10.0,86.0,10.0,316.0,306.0,523.5,95.600001424551,24.0,499.5,1798.0
17.0,85.0,21.0,308.0,287.0,523.0,92.85000138357279,25.0,499.5,1799.0
16.5,86.0,19.0,325.0,344.0,522.0,109.500001631677,26.0,500.5,1804.5
18.5,85.0,8.0,323.0,315.0,521.5,111.750001665205,26.0,499.0,1801.0
